"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Empty password","Smoke","2025-12-01","broken","2025-12-01","ui.tests.LoginTests","Smoke","ui.tests.LoginTests","unsuccessfulLoginWithWrongCredentialsTest"
"","19","Should log in with valid user and password","Smoke","2025-12-01","broken","2025-12-01","ui.tests.LoginTests","Smoke","ui.tests.LoginTests","successfulLoginTest"
"","2","Should not be able to log in with invalid user, invalid password or combination of both","Smoke","2025-12-01","broken","2025-12-01","ui.tests.LoginTests","Smoke","ui.tests.LoginTests","unsuccessfulLoginWithWrongCredentialsTest"
"","1","Both invalid","Smoke","2025-12-01","broken","2025-12-01","ui.tests.LoginTests","Smoke","ui.tests.LoginTests","unsuccessfulLoginWithWrongCredentialsTest"
"","1","Invalid username","Smoke","2025-12-01","broken","2025-12-01","ui.tests.LoginTests","Smoke","ui.tests.LoginTests","unsuccessfulLoginWithWrongCredentialsTest"
"","1","Invalid password","Smoke","2025-12-01","broken","2025-12-01","ui.tests.LoginTests","Smoke","ui.tests.LoginTests","unsuccessfulLoginWithWrongCredentialsTest"
